utc_date	io_line_item_number	ad_unit	creative_name	channel	web_property	country_code	country	region	city	dma	device_type	browser	os_name	requests	impressions	dropoffs	clicks	conversions	video_starts	mutes	unmutes	pauses	firstquartiles	midpoints	thirdquartiles	completes
2015-05-10	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	it	Italy	Varese	Gallarate	Unknown	Desktop	Safari	Mac	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	173320	Medium Rectangle 300x250	57729-173321-Mobile-Chicago-Tablet-300x250-Hacker	News	Tribune Interactive	us	United States	Illinois	Elburn	Chicago	Tablet	Chrome	Android	4	4	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	173320	Tablet  300x250	57729-173321-Mobile-Chicago-Tablet-300x250-Lose Mind	News	World Now^^	us	United States	Illinois	Calumet City	Chicago	Tablet	Safari	iOS	3	3	0	0	0	0	0	0	0	0	0	0	0
2015-05-31	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	News	examiner.com	us	United States	Texas	Arlington	Dallas-Ft. Worth	SmartPhone	Chrome	Android	4	4	0	0	0	4	0	0	0	0	0	0	0
2015-04-30	176762	FullPage Pub	58945-176762-Full Page	Directories/Resources	accuweather.com	us	United States	Alaska	Unknown	Unknown	Desktop	IE-10	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-07-01	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Portals	Bidder Pilot	us	United States	New York	Dunkirk	Buffalo	Desktop	Firefox	Windows 8	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-29	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Lifestyle	Concourse Media	us	United States	Texas	Temple	Waco-Temple-Bryan	SmartPhone	Chrome	Android	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	168908	Half Page Ad 300x600	54850-168907-Premium IPB-300x600	Entertainment	nationalenquirer.com	us	United States	Alabama	Ariton	Dothan	SmartPhone	Safari	iOS	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-06-27	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Lifestyle	Evolve Media^^	us	United States	New York	North Tonawanda	Buffalo	Desktop	Safari	Mac	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-29	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Tablet	Lifestyle	quickanddirtytips.com	us	United States	Texas	Austin	Austin	Tablet	Safari	iOS	12	12	0	0	0	12	0	0	0	0	0	0	0
2015-07-01	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	News	abcnews.go.com	us	United States	New York	North Tonawanda	Buffalo	Desktop	Chrome	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-07-01	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Portals	Bidder Pilot	us	United States	New York	East Aurora	Buffalo	Desktop	IE-7	Windows 7	63	63	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	166596	Leaderboard 728x90	54917-166596-728x90-CSB-Tablet-Madison	Directories/Resources	whitepages.com	us	United States	Wisconsin	Lodi	Madison	Tablet	Safari	iOS	5	5	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	176762	Half Page Ad 300x600	58945-176762-Half Page	Politics	weeklystandard.com	us	United States	Arkansas	Conway	Little Rock-Pine Bluff	Desktop	IE-9	Windows 7	4	4	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	166596	Leaderboard 728x90	54917-166596-728x90-CSB-Desktop-Madison	News	Lee Enterprises  Incorporated	us	United States	Wisconsin	Deerfield	Madison	Desktop	Other	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	173320	Tablet  300x250	57729-173321-Mobile-Chicago-Tablet-300x250-Lose Mind	News	World Now^^	us	United States	Illinois	Channahon	Chicago	Tablet	Safari	iOS	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-27	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Lifestyle	wideopenspaces.com	us	United States	Texas	Spring	Houston	SmartPhone	Chrome	Android	1	0	1	0	0	0	0	0	0	0	0	0	0
2015-04-30	166596	Medium Rectangle 300x250	54917-166596-300x250-CSB-Desktop-Madison	Lifestyle	smithsonianmag.com	us	United States	Wisconsin	Madison	Madison	Desktop	Firefox	Windows 7	26	20	6	0	0	0	0	0	0	0	0	0	0
2015-05-08	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	ch	Switzerland	Luzern	Ebikon	Unknown	Desktop	Safari	Mac	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-29	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Tech	Techtimes.com	us	United States	New Jersey	Willingboro	Philadelphia	SmartPhone	Safari	Android	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	176762	FullPage UT	58945-176762-Full Page	Lifestyle	yourtango.com	us	United States	Arkansas	Cabot	Little Rock-Pine Bluff	Desktop	Chrome	Windows 7	3	3	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	173320	Medium Rectangle 300x250	57729-173321-Mobile-Chicago-Tablet-300x250-Hacker	News	Tribune Interactive	us	United States	Illinois	Lockport	Chicago	Tablet	Safari	Android	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	176762	FullPage UT	58945-176762-Full Page	Education	citationmachine.net	us	United States	Arkansas	Mountain Pine	Little Rock-Pine Bluff	Desktop	Chrome	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-07-09	179896	Smartphone 300x250	60042-179896-CSB Education No.Cali-Smartphone-300x250	Entertainment	metrolyrics.com	us	United States	California	Sacramento	Sacramnto-Stkton-Modesto	SmartPhone	Chrome	Android	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-05	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	ru	Russian Federation	Sverdlovskaya Oblast'	Kamensk-Uralsky	Unknown	Desktop	Firefox	Windows 8	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	175907	Linear Video Ad	57251-174035-In Stream User Initiated Video- MOAT BT	Sports	goal	us	United States	Texas	Shallowater	Lubbock	Desktop	Chrome	Windows XP	1	0	1	0	0	0	0	0	0	0	0	0	0
2015-05-28	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Tech	Techtimes.com	us	United States	Texas	Leander	Austin	SmartPhone	Safari	iOS	4	4	0	0	0	4	0	0	0	0	0	0	0
2015-06-27	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	News	abcnews.go.com	us	United States	New York	Holley	Buffalo	Desktop	Other	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-06-30	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Portals	Bidder Pilot	us	United States	New York	Getzville	Buffalo	Desktop	Chrome	Mac	30	30	0	0	0	0	0	0	0	0	0	0	0
2015-05-02	176762	Half Page Ad 300x600	58945-176762-Half Page	Politics	weeklystandard.com	us	United States	Arkansas	De Witt	Little Rock-Pine Bluff	Desktop	Safari	Mac	2	1	1	0	0	0	0	0	0	0	0	0	0
2015-04-30	173320	Tablet  728x90	57729-173321-Mobile-Chicago-Tablet-728x90-Lose Mind	Career	snagajob.com	us	United States	Illinois	Dundee	Chicago	Tablet	Safari	iOS	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	173320	Medium Rectangle 300x250	57729-173321-Mobile-Chicago-Tablet-300x250-Remove Viruses	News	World Now^^	us	United States	Illinois	Calumet City	Chicago	Tablet	Safari	iOS	5	5	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	173320	Leaderboard 728x90	57729-173321-Mobile-Chicago-Tablet-728x90-Lose Mind	News	Tribune Interactive	us	United States	Illinois	Chicago	Chicago	Tablet	Chrome	Android	4	4	0	0	0	0	0	0	0	0	0	0	0
2015-06-30	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Portals	Bidder Pilot	us	United States	Pennsylvania	Kane	Buffalo	Desktop	Safari	Mac	24	24	0	0	0	0	0	0	0	0	0	0	0
2015-04-30	175907	Linear Video Ad	57251-174035-In Stream User Initiated Video- MOAT Demo	Sports	goal	us	United States	Wisconsin	Hudson	Minneapolis-St. Paul	Desktop	Chrome	Windows 8	5	0	5	0	0	0	0	0	0	0	0	0	0
2015-05-31	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	News	examiner.com	us	United States	Texas	Belton	Waco-Temple-Bryan	SmartPhone	Chrome	Android	2	2	0	0	0	2	0	0	0	0	0	0	0
2015-06-01	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Family	youbeauty.com	us	United States	Texas	Pflugerville	Austin	SmartPhone	Safari	iOS	1	1	0	0	0	1	0	0	0	0	0	0	0
2015-04-30	166596	Medium Rectangle 300x250	54917-166596-300x250-CSB-Tablet-Madison	Real Estate	homeaway.com	us	United States	Wisconsin	Madison	Madison	Tablet	Safari	iOS	7	7	0	0	0	0	0	0	0	0	0	0	0
2015-05-07	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Ottawa MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Quebec	Sherbrooke	Unknown	Desktop	Chrome	Windows 7	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	176762	Half Page Ad 300x600	58945-176762-Half Page	Music	hitfix.com	us	United States	Arkansas	Russellville	Little Rock-Pine Bluff	Desktop	Chrome	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-07-01	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Portals	Bidder Pilot	us	United States	New York	Batavia	Buffalo	Desktop	IE-10	Windows 7	62	62	0	0	0	0	0	0	0	0	0	0	0
2015-05-31	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Business/Finance	investopedia.com	us	United States	Texas	Austin	Austin	SmartPhone	Chrome	Android	8	8	0	1	0	8	0	0	0	0	0	0	0
2015-04-30	173320	Leaderboard 728x90	57729-173321-Mobile-Chicago-Tablet-728x90-Dance	News	dailycaller.com	us	United States	Illinois	Antioch	Chicago	Tablet	Safari	iOS	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-09	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	it	Italy	Palermo	Palermo	Unknown	Desktop	Firefox	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-13	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Ottawa MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	British Columbia	Burnaby	Unknown	Desktop	Chrome	Mac	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-20	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Toronto MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Alberta	Beaumont	Unknown	Desktop	Safari	Mac	3	3	0	0	0	0	0	0	0	0	0	0	0
2015-05-30	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Tech	Techtimes.com	us	United States	Texas	Waco	Waco-Temple-Bryan	SmartPhone	Chrome	Android	4	4	0	0	0	3	0	0	0	0	0	0	0
2015-04-30	166596	Medium Rectangle 300x250	54917-166596-300x250-CSB-Desktop-Madison	Lifestyle	smithsonianmag.com	us	United States	Wisconsin	Stoughton	Madison	Desktop	Safari	Mac	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	166596	Leaderboard 728x90	54917-166596-728x90-CSB-Desktop-Madison	News	Lee Enterprises  Incorporated	us	United States	Wisconsin	Avoca	Madison	Desktop	Chrome	Windows 8	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-07-01	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Portals	Bidder Pilot	us	United States	New York	Getzville	Buffalo	Desktop	Chrome	Windows XP	6	6	0	0	0	0	0	0	0	0	0	0	0
2015-05-05	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Vancouver MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Ontario	Toronto	Unknown	Desktop	Firefox	Mac	3	3	0	0	0	0	0	0	0	0	0	0	0
2015-05-15	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Ottawa MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Quebec	Verdun	Unknown	Desktop	Chrome	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-31	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Tech	Techtimes.com	us	United States	Texas	Marble Falls	Austin	SmartPhone	Safari	Android	2	2	0	0	0	2	0	0	0	0	0	0	0
2015-06-26	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Lifestyle	Evolve Media^^	us	United States	New York	North Tonawanda	Buffalo	Desktop	Safari	Mac	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-07-09	179896	Smartphone 320x50	60042-179896-CSB Education No.Cali-Smartphone-320x50	Entertainment	thewrap.com	us	United States	California	Santa Cruz	Monterey-Salinas	SmartPhone	Safari	iOS	8	8	0	0	0	0	0	0	0	0	0	0	0
2015-05-05	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Winnipeg MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Manitoba	Winnipeg	Unknown	Desktop	Firefox	Windows Vista	4	4	0	0	0	0	0	0	0	0	0	0	0
2015-05-07	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	it	Italy	Catania	Catania	Unknown	Desktop	Safari	Mac	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-07-01	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Portals	Bidder Pilot	us	United States	New York	Clarence Center	Buffalo	Desktop	Chrome	Windows 7	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-07-07	179896	Smartphone 300x250	60042-179896-CSB Education No.Cali-Smartphone-300x250	Entertainment	thewrap.com	us	United States	California	Dinuba	Fresno-Visalia	SmartPhone	Chrome	Android	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	173320	Medium Rectangle 300x250	57729-173321-Mobile-Chicago-Tablet-300x250-Remove Viruses	News	startribune.com	us	United States	Illinois	Evanston	Chicago	Tablet	Other	Windows 8	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-13	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Edmonton MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Ontario	Ottawa	Unknown	Desktop	Chrome	Windows Vista	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-30	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Lifestyle	wideopenspaces.com	us	United States	Texas	Tomball	Houston	SmartPhone	Safari	iOS	1	1	0	0	0	1	0	0	0	0	0	0	0
2015-04-30	168908	Half Page Ad 300x600	54850-168907-Premium IPB-300x600	Entertainment	nationalenquirer.com	us	United States	Georgia	La Fayette	Chattanooga	SmartPhone	Chrome	Android	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-06-28	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	News	examiner.com	us	United States	New York	Hamburg	Buffalo	Desktop	Firefox	Windows 7	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-31	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Smartphone	Tech	Techtimes.com	us	United States	Texas	Graham	Wichita Falls & Lawton	SmartPhone	Chrome	Android	1	0	1	0	0	0	0	0	0	0	0	0	0
2015-05-27	175061	ScreenShift Full Page	58577-175061-PageGrabber X_Tablet	News	thehill.com	us	United States	Texas	Round Rock	Austin	Tablet	Safari	iOS	1	1	0	0	0	1	0	0	0	0	0	0	0
2015-06-27	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	Politics	weeklystandard.com	us	United States	New York	Lancaster	Buffalo	Desktop	Safari	Mac	1	1	0	0	0	0	0	0	0	0	0	0	0
2015-05-20	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Ottawa MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Ontario	Stittsville	Unknown	Desktop	Safari	Mac	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-01	175907	Linear Video Ad	57251-174035-In Stream User Initiated Video- MOAT Demo	News	International Business Times^^	us	United States	California	Sunnyvale	San Francisco-Oak-San Jose	Desktop	Chrome	Mac	1	0	1	0	0	0	0	0	0	0	0	0	0
2015-06-30	179176	Half Page Ad 300x600	57827-179176-Half Page Buffalo-F150	News	abcnews.go.com	us	United States	New York	Buffalo	Buffalo	Desktop	IE-8	Windows 7	3	2	1	0	0	0	0	0	0	0	0	0	0
2015-05-08	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	ch	Switzerland	Geneve	Meyrin	Unknown	Desktop	IE-9	Windows 7	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-04	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	ru	Russian Federation	Sverdlovskaya Oblast'	Unknown	Unknown	Desktop	Opera	Windows 7	2	2	0	0	0	0	0	0	0	0	0	0	0
2015-05-05	177669	Half Page Ad 300x600	58370-175585-Half Page Canada_MNI  - MNI Via Rail - VIA Rail Canada v2 Vancouver MNI - EN - 300x600	Portals	Bidder Pilot	ca	Canada	Alberta	Edmonton	Unknown	Desktop	Other	Windows 8	7	7	0	0	0	0	0	0	0	0	0	0	0
2015-05-05	167717	Billboard 970x250	56720-167710-IE Business-BB EMEA-Dec 14	News	reuters.com	it	Italy	Genova	Genova	Unknown	Desktop	IE-10	Windows 8	3	3	0	0	0	0	0	0	0	0	0	0	0
2015-05-02	176762	Half Page Ad 300x600	58945-176762-Half Page	News	ijreview.com	us	United States	Arkansas	Little Rock	Little Rock-Pine Bluff	SmartPhone	Safari	Android	1	1	0	0	0	0	0	0	0	0	0	0	0
